Date,Open,High,Low,Close,Adj Close,Volume,Monday,Tuesday,Wednesday,Thursday
2020-03-19,13.29,14.36,10.835,12.15,12.15,8224031,0,0,0,1
2020-03-20,13.66,15.85,12.22,12.41,12.41,8817832,0,0,0,0
2020-03-23,13.06,13.74,12.21,12.7,12.7,6087660,1,0,0,0
2020-03-24,15.12,15.5,14.06,15.11,15.11,7667078,0,1,0,0
2020-03-25,17.35,19.48,15.31,17.51,17.51,13034463,0,0,1,0
2020-03-26,18.209999,19.26,17.08,17.91,17.91,10192571,0,0,0,1
2020-03-27,17.4,17.57,15.5,16.75,16.75,7648410,0,0,0,0
2020-03-30,16.01,16.950001,15.3,16.08,16.08,5420648,1,0,0,0
2020-03-31,16.27,16.719999,15.5,15.75,15.75,5622632,0,1,0,0
2020-04-01,15.3,15.55,14.28,14.46,14.46,6336509,0,0,1,0
2020-04-02,14.51,15.17,14.04,14.72,14.72,4566433,0,0,0,1
2020-04-03,14.94,15.04,13.53,14.55,14.55,6858111,0,0,0,0
2020-04-06,15.24,15.49,14.86,15.16,15.16,5717319,1,0,0,0
2020-04-07,16.690001,17.5,16,16.57,16.57,9164623,0,1,0,0
2020-04-08,17.25,18.940001,16.85,18.74,18.74,9022679,0,0,1,0
2020-04-09,20,22,19.459999,20.08,20.08,9861546,0,0,0,1
2020-04-13,20.5,20.719999,18.790001,19.309999,19.309999,6151774,1,0,0,0
2020-04-14,19.99,20.5,19.280001,19.43,19.43,5812608,0,1,0,0
2020-04-15,19,19.24,18.299999,18.66,18.66,4679865,0,0,1,0
2020-04-16,18.790001,18.860001,17.030001,17.1,17.1,7832066,0,0,0,1
2020-04-17,18,18.42,17.540001,18.15,18.15,7054991,0,0,0,0
2020-04-20,17.700001,19.200001,17.120001,18.120001,18.120001,7190311,1,0,0,0
2020-04-21,17.5,18.5,17.379999,17.75,17.75,3720111,0,1,0,0
2020-04-22,18.26,18.35,17.67,17.959999,17.959999,2929872,0,0,1,0
2020-04-23,18,18.4,17.690001,18.190001,18.190001,3334203,0,0,0,1
2020-04-24,18.25,18.65,17.9,18.24,18.24,3935329,0,0,0,0
2020-04-27,18.5,19.200001,18.27,18.799999,18.799999,4357140,1,0,0,0
2020-04-28,19.25,21.1,19.110001,20.6,20.6,7469354,0,1,0,0
2020-04-29,21.629999,22.780001,21.33,21.65,21.65,8025446,0,0,1,0
2020-04-30,21.540001,21.549999,19.83,20.24,20.24,6947886,0,0,0,1
2020-05-01,19.5,19.559999,18.76,19.299999,19.299999,6436431,0,0,0,0
2020-05-04,17.17,18.5,16.799999,17.629999,17.629999,9564554,1,0,0,0
2020-05-05,18.51,18.51,17,17.01,17.01,8096563,0,1,0,0
2020-05-06,17.01,17.389999,16.360001,16.68,16.68,4954862,0,0,1,0
2020-05-07,16.809999,17.280001,16.48,16.530001,16.530001,4998591,0,0,0,1
2020-05-08,16.76,17.049999,16.6,17.049999,17.049999,4128253,0,0,0,0
2020-05-11,16.860001,16.889999,16.129999,16.299999,16.299999,4256006,1,0,0,0
2020-05-12,16.370001,16.440001,15.29,15.32,15.32,7357283,0,1,0,0
2020-05-13,15.15,15.17,13.94,14.1,14.1,7663347,0,0,1,0
2020-05-14,13.58,15.38,12.8,15.22,15.22,9154474,0,0,0,1
2020-05-15,15.08,15.13,14.35,14.62,14.62,5179280,0,0,0,0
2020-05-19,16,16.860001,15.46,16.73,16.73,8682412,0,1,0,0
2020-05-20,17.139999,17.5,16.9,17.01,17.01,5323363,0,0,1,0
2020-05-21,16.809999,17.370001,16.27,16.98,16.98,3677971,0,0,0,1
2020-05-22,16.950001,16.969999,16.299999,16.709999,16.709999,3572428,0,0,0,0
2020-05-25,17,17.200001,16.66,16.76,16.76,2423418,1,0,0,0
2020-05-26,17.190001,18.24,17.16,17.67,17.67,7371951,0,1,0,0
2020-05-27,17.75,17.780001,15.93,16.440001,16.440001,17431970,0,0,1,0
2020-05-28,16.700001,16.77,15.95,16,16,11509385,0,0,0,1
2020-05-29,15.88,15.99,15.54,15.9,15.9,7199432,0,0,0,0
2020-06-01,15.99,16.57,15.61,16.41,16.41,6367971,1,0,0,0
2020-06-02,16.700001,16.9,16.52,16.690001,16.690001,6789759,0,1,0,0
2020-06-03,17.030001,18.5,16.879999,18.370001,18.370001,12157442,0,0,1,0
2020-06-04,19.07,19.92,18.57,19.42,19.42,15276733,0,0,0,1
2020-06-05,21.940001,22.5,19.950001,20.290001,20.290001,19742537,0,0,0,0
2020-06-08,21.9,23.549999,21.049999,23.389999,23.389999,16674725,1,0,0,0
2020-06-09,22.25,22.280001,20.559999,21.01,21.01,14740665,0,1,0,0
2020-06-10,20.5,20.68,19.01,19.51,19.51,12646157,0,0,1,0
2020-06-11,17.5,18.83,17.049999,17.85,17.85,12470911,0,0,0,1
2020-06-12,19.35,19.639999,18.16,19.4,19.4,14378888,0,0,0,0
2020-06-15,18.389999,19.280001,18.1,18.540001,18.540001,10437549,1,0,0,0
2020-06-16,19.790001,19.879999,18.950001,19.23,19.23,9399592,0,1,0,0
2020-06-17,19,19.18,18.639999,18.75,18.75,5020352,0,0,1,0
2020-06-18,18.5,19.190001,18.34,18.809999,18.809999,4773201,0,0,0,1
2020-06-19,19.15,19.15,18.139999,18.4,18.4,5516549,0,0,0,0